z,radEnergy
0,0.46522
0.0015625,0.46397
0.003125,0.46272
0.0046875,0.46147
0.00625,0.46023
0.0078125,0.459
0.009375,0.45776
0.010937,0.45653
0.0125,0.4553
0.014063,0.45408
0.015625,0.45285
0.017188,0.45164
0.01875,0.45042
0.020313,0.44921
0.021875,0.448
0.023438,0.4468
0.025,0.4456
0.026562,0.4444
0.028125,0.4432
0.029687,0.44201
0.03125,0.44082
0.032813,0.43964
0.034375,0.43845
0.035937,0.43727
0.0375,0.4361
0.039062,0.43493
0.040625,0.43376
0.042188,0.43259
0.04375,0.43143
0.045312,0.43027
0.046875,0.42911
0.048438,0.42796
0.05,0.42681
0.051562,0.42566
0.053125,0.42452
0.054688,0.42337
0.05625,0.42224
0.057813,0.4211
0.059375,0.41997
0.060937,0.41884
0.0625,0.41771
0.064062,0.41659
0.065625,0.41547
0.067187,0.41436
0.06875,0.41324
0.070312,0.41213
0.071875,0.41102
0.073438,0.40992
0.075,0.40882
0.076563,0.40772
0.078125,0.40662
0.079687,0.40553
0.08125,0.40444
0.082812,0.40336
0.084375,0.40227
0.085938,0.40119
0.0875,0.40011
0.089063,0.39904
0.090625,0.39797
0.092188,0.3969
0.09375,0.39583
0.095312,0.39477
0.096875,0.39371
0.098437,0.39265
0.1,0.3916
0.10156,0.39055
0.10312,0.3895
0.10469,0.38845
0.10625,0.38741
0.10781,0.38637
0.10938,0.38533
0.11094,0.38429
0.1125,0.38326
0.11406,0.38223
0.11563,0.38121
0.11719,0.38018
0.11875,0.37916
0.12031,0.37815
0.12187,0.37713
0.12344,0.37612
0.125,0.37511
0.12656,0.3741
0.12812,0.3731
0.12969,0.3721
0.13125,0.3711
0.13281,0.3701
0.13437,0.36911
0.13594,0.36812
0.1375,0.36713
0.13906,0.36615
0.14062,0.36516
0.14219,0.36418
0.14375,0.36321
0.14531,0.36223
0.14688,0.36126
0.14844,0.36029
0.15,0.35933
0.15156,0.35836
0.15313,0.3574
0.15469,0.35644
0.15625,0.35549
0.15781,0.35453
0.15937,0.35358
0.16094,0.35263
0.1625,0.35169
0.16406,0.35075
0.16562,0.3498
0.16719,0.34887
0.16875,0.34793
0.17031,0.347
0.17188,0.34607
0.17344,0.34514
0.175,0.34422
0.17656,0.34329
0.17813,0.34237
0.17969,0.34146
0.18125,0.34054
0.18281,0.33963
0.18438,0.33872
0.18594,0.33781
0.1875,0.3369
0.18906,0.336
0.19062,0.3351
0.19219,0.3342
0.19375,0.33331
0.19531,0.33242
0.19687,0.33152
0.19844,0.33064
0.2,0.32975
0.20156,0.32887
0.20312,0.32799
0.20469,0.32711
0.20625,0.32623
0.20781,0.32536
0.20938,0.32449
0.21094,0.32362
0.2125,0.32275
0.21406,0.32189
0.21563,0.32103
0.21719,0.32017
0.21875,0.31931
0.22031,0.31846
0.22187,0.3176
0.22344,0.31675
0.225,0.3159
0.22656,0.31506
0.22812,0.31422
0.22969,0.31338
0.23125,0.31254
0.23281,0.3117
0.23438,0.31087
0.23594,0.31003
0.2375,0.30921
0.23906,0.30838
0.24063,0.30755
0.24219,0.30673
0.24375,0.30591
0.24531,0.30509
0.24688,0.30428
0.24844,0.30346
0.25,0.30265
0.25156,0.30184
0.25312,0.30103
0.25469,0.30023
0.25625,0.29943
0.25781,0.29863
0.25938,0.29783
0.26094,0.29703
0.2625,0.29624
0.26406,0.29545
0.26562,0.29466
0.26719,0.29387
0.26875,0.29308
0.27031,0.2923
0.27187,0.29152
0.27344,0.29074
0.275,0.28996
0.27656,0.28919
0.27813,0.28842
0.27969,0.28765
0.28125,0.28688
0.28281,0.28611
0.28437,0.28535
0.28594,0.28459
0.2875,0.28383
0.28906,0.28307
0.29063,0.28231
0.29219,0.28156
0.29375,0.28081
0.29531,0.28006
0.29688,0.27931
0.29844,0.27857
0.3,0.27782
0.30156,0.27708
0.30312,0.27634
0.30469,0.2756
0.30625,0.27487
0.30781,0.27414
0.30938,0.2734
0.31094,0.27268
0.3125,0.27195
0.31406,0.27122
0.31562,0.2705
0.31719,0.26978
0.31875,0.26906
0.32031,0.26834
0.32188,0.26763
0.32344,0.26691
0.325,0.2662
0.32656,0.26549
0.32812,0.26478
0.32969,0.26408
0.33125,0.26337
0.33281,0.26267
0.33437,0.26197
0.33594,0.26128
0.3375,0.26058
0.33906,0.25988
0.34063,0.25919
0.34219,0.2585
0.34375,0.25781
0.34531,0.25713
0.34687,0.25644
0.34844,0.25576
0.35,0.25508
0.35156,0.2544
0.35313,0.25372
0.35469,0.25305
0.35625,0.25237
0.35781,0.2517
0.35938,0.25103
0.36094,0.25036
0.3625,0.2497
0.36406,0.24903
0.36562,0.24837
0.36719,0.24771
0.36875,0.24705
0.37031,0.2464
0.37188,0.24574
0.37344,0.24509
0.375,0.24444
0.37656,0.24379
0.37812,0.24314
0.37969,0.24249
0.38125,0.24185
0.38281,0.2412
0.38438,0.24056
0.38594,0.23992
0.3875,0.23929
0.38906,0.23865
0.39062,0.23802
0.39219,0.23738
0.39375,0.23675
0.39531,0.23613
0.39687,0.2355
0.39844,0.23487
0.4,0.23425
0.40156,0.23363
0.40313,0.23301
0.40469,0.23239
0.40625,0.23177
0.40781,0.23116
0.40937,0.23054
0.41094,0.22993
0.4125,0.22932
0.41406,0.22871
0.41563,0.22811
0.41719,0.2275
0.41875,0.2269
0.42031,0.2263
0.42188,0.2257
0.42344,0.2251
0.425,0.2245
0.42656,0.22391
0.42812,0.22332
0.42969,0.22272
0.43125,0.22213
0.43281,0.22155
0.43438,0.22096
0.43594,0.22037
0.4375,0.21979
0.43906,0.21921
0.44062,0.21863
0.44219,0.21805
0.44375,0.21747
0.44531,0.2169
0.44688,0.21632
0.44844,0.21575
0.45,0.21518
0.45156,0.21461
0.45312,0.21404
0.45469,0.21348
0.45625,0.21291
0.45781,0.21235
0.45937,0.21179
0.46094,0.21123
0.4625,0.21067
0.46406,0.21011
0.46563,0.20956
0.46719,0.209
0.46875,0.20845
0.47031,0.2079
0.47187,0.20735
0.47344,0.2068
0.475,0.20626
0.47656,0.20571
0.47813,0.20517
0.47969,0.20463
0.48125,0.20409
0.48281,0.20355
0.48438,0.20301
0.48594,0.20248
0.4875,0.20194
0.48906,0.20141
0.49062,0.20088
0.49219,0.20035
0.49375,0.19982
0.49531,0.19929
0.49688,0.19877
0.49844,0.19824
0.5,0.19772
0.50156,0.1972
0.50313,0.19668
0.50469,0.19616
0.50625,0.19565
0.50781,0.19513
0.50938,0.19462
0.51094,0.19411
0.5125,0.19359
0.51406,0.19309
0.51562,0.19258
0.51719,0.19207
0.51875,0.19157
0.52031,0.19106
0.52187,0.19056
0.52344,0.19006
0.525,0.18956
0.52656,0.18906
0.52812,0.18856
0.52969,0.18807
0.53125,0.18757
0.53281,0.18708
0.53438,0.18659
0.53594,0.1861
0.5375,0.18561
0.53906,0.18512
0.54063,0.18464
0.54219,0.18415
0.54375,0.18367
0.54531,0.18319
0.54688,0.18271
0.54844,0.18223
0.55,0.18175
0.55156,0.18127
0.55312,0.1808
0.55469,0.18032
0.55625,0.17985
0.55781,0.17938
0.55937,0.17891
0.56094,0.17844
0.5625,0.17797
0.56406,0.17751
0.56563,0.17704
0.56719,0.17658
0.56875,0.17612
0.57031,0.17566
0.57188,0.1752
0.57344,0.17474
0.575,0.17428
0.57656,0.17383
0.57812,0.17337
0.57969,0.17292
0.58125,0.17247
0.58281,0.17202
0.58437,0.17157
0.58594,0.17112
0.5875,0.17067
0.58906,0.17023
0.59062,0.16978
0.59219,0.16934
0.59375,0.1689
0.59531,0.16846
0.59688,0.16802
0.59844,0.16758
0.6,0.16714
0.60156,0.1667
0.60313,0.16627
0.60469,0.16584
0.60625,0.1654
0.60781,0.16497
0.60938,0.16454
0.61094,0.16412
0.6125,0.16369
0.61406,0.16326
0.61562,0.16284
0.61719,0.16241
0.61875,0.16199
0.62031,0.16157
0.62187,0.16115
0.62344,0.16073
0.625,0.16031
0.62656,0.1599
0.62813,0.15948
0.62969,0.15907
0.63125,0.15865
0.63281,0.15824
0.63438,0.15783
0.63594,0.15742
0.6375,0.15701
0.63906,0.15661
0.64062,0.1562
0.64219,0.15579
0.64375,0.15539
0.64531,0.15499
0.64687,0.15459
0.64844,0.15419
0.65,0.15379
0.65156,0.15339
0.65312,0.15299
0.65469,0.1526
0.65625,0.1522
0.65781,0.15181
0.65938,0.15141
0.66094,0.15102
0.6625,0.15063
0.66406,0.15024
0.66563,0.14985
0.66719,0.14947
0.66875,0.14908
0.67031,0.1487
0.67188,0.14831
0.67344,0.14793
0.675,0.14755
0.67656,0.14717
0.67812,0.14679
0.67969,0.14641
0.68125,0.14603
0.68281,0.14566
0.68437,0.14528
0.68594,0.14491
0.6875,0.14453
0.68906,0.14416
0.69063,0.14379
0.69219,0.14342
0.69375,0.14305
0.69531,0.14268
0.69688,0.14232
0.69844,0.14195
0.7,0.14159
0.70156,0.14122
0.70312,0.14086
0.70469,0.1405
0.70625,0.14014
0.70781,0.13978
0.70937,0.13942
0.71094,0.13906
0.7125,0.13871
0.71406,0.13835
0.71562,0.138
0.71719,0.13764
0.71875,0.13729
0.72031,0.13694
0.72188,0.13659
0.72344,0.13624
0.725,0.13589
0.72656,0.13554
0.72813,0.1352
0.72969,0.13485
0.73125,0.13451
0.73281,0.13416
0.73438,0.13382
0.73594,0.13348
0.7375,0.13314
0.73906,0.1328
0.74062,0.13246
0.74219,0.13212
0.74375,0.13179
0.74531,0.13145
0.74687,0.13112
0.74844,0.13078
0.75,0.13045
0.75156,0.13012
0.75313,0.12979
0.75469,0.12946
0.75625,0.12913
0.75781,0.1288
0.75938,0.12847
0.76094,0.12815
0.7625,0.12782
0.76406,0.1275
0.76562,0.12717
0.76719,0.12685
0.76875,0.12653
0.77031,0.12621
0.77187,0.12589
0.77344,0.12557
0.775,0.12525
0.77656,0.12493
0.77812,0.12462
0.77969,0.1243
0.78125,0.12399
0.78281,0.12368
0.78438,0.12336
0.78594,0.12305
0.7875,0.12274
0.78906,0.12243
0.79063,0.12212
0.79219,0.12182
0.79375,0.12151
0.79531,0.1212
0.79688,0.1209
0.79844,0.12059
0.8,0.12029
0.80156,0.11999
0.80312,0.11969
0.80469,0.11938
0.80625,0.11909
0.80781,0.11879
0.80937,0.11849
0.81094,0.11819
0.8125,0.11789
0.81406,0.1176
0.81563,0.1173
0.81719,0.11701
0.81875,0.11672
0.82031,0.11642
0.82188,0.11613
0.82344,0.11584
0.825,0.11555
0.82656,0.11526
0.82812,0.11498
0.82969,0.11469
0.83125,0.1144
0.83281,0.11412
0.83437,0.11383
0.83594,0.11355
0.8375,0.11327
0.83906,0.11299
0.84062,0.1127
0.84219,0.11242
0.84375,0.11214
0.84531,0.11187
0.84688,0.11159
0.84844,0.11131
0.85,0.11103
0.85156,0.11076
0.85313,0.11048
0.85469,0.11021
0.85625,0.10994
0.85781,0.10966
0.85938,0.10939
0.86094,0.10912
0.8625,0.10885
0.86406,0.10858
0.86562,0.10832
0.86719,0.10805
0.86875,0.10778
0.87031,0.10752
0.87187,0.10725
0.87344,0.10699
0.875,0.10672
0.87656,0.10646
0.87813,0.1062
0.87969,0.10594
0.88125,0.10568
0.88281,0.10542
0.88438,0.10516
0.88594,0.1049
0.8875,0.10464
0.88906,0.10439
0.89062,0.10413
0.89219,0.10388
0.89375,0.10362
0.89531,0.10337
0.89687,0.10311
0.89844,0.10286
0.9,0.10261
0.90156,0.10236
0.90312,0.10211
0.90469,0.10186
0.90625,0.10161
0.90781,0.10137
0.90938,0.10112
0.91094,0.10087
0.9125,0.10063
0.91406,0.10038
0.91563,0.10014
0.91719,0.099897
0.91875,0.099655
0.92031,0.099413
0.92188,0.099172
0.92344,0.098932
0.925,0.098693
0.92656,0.098454
0.92812,0.098216
0.92969,0.097979
0.93125,0.097742
0.93281,0.097506
0.93437,0.097271
0.93594,0.097037
0.9375,0.096803
0.93906,0.09657
0.94063,0.096338
0.94219,0.096106
0.94375,0.095875
0.94531,0.095645
0.94688,0.095416
0.94844,0.095187
0.95,0.094959
0.95156,0.094731
0.95312,0.094505
0.95469,0.094279
0.95625,0.094053
0.95781,0.093829
0.95937,0.093605
0.96094,0.093382
0.9625,0.093159
0.96406,0.092937
0.96562,0.092716
0.96719,0.092496
0.96875,0.092276
0.97031,0.092057
0.97188,0.091838
0.97344,0.09162
0.975,0.091403
0.97656,0.091187
0.97813,0.090971
0.97969,0.090756
0.98125,0.090541
0.98281,0.090327
0.98438,0.090114
0.98594,0.089902
0.9875,0.08969
0.98906,0.089479
0.99062,0.089268
0.99219,0.089058
0.99375,0.088849
0.99531,0.088641
0.99687,0.088433
0.99844,0.088225
1,0.088019
