z,radEnergy
0,0.5
0.0015625,0.49657
0.003125,0.49321
0.0046875,0.48992
0.00625,0.48669
0.0078125,0.48352
0.009375,0.48041
0.010937,0.47736
0.0125,0.47437
0.014063,0.47143
0.015625,0.46854
0.017188,0.4657
0.01875,0.46291
0.020313,0.46017
0.021875,0.45748
0.023438,0.45483
0.025,0.45223
0.026562,0.44966
0.028125,0.44714
0.029687,0.44466
0.03125,0.44222
0.032813,0.43982
0.034375,0.43745
0.035937,0.43512
0.0375,0.43282
0.039062,0.43056
0.040625,0.42833
0.042188,0.42613
0.04375,0.42396
0.045312,0.42183
0.046875,0.41972
0.048438,0.41764
0.05,0.41559
0.051562,0.41356
0.053125,0.41156
0.054688,0.40959
0.05625,0.40764
0.057813,0.40572
0.059375,0.40382
0.060937,0.40194
0.0625,0.40009
0.064062,0.39825
0.065625,0.39644
0.067187,0.39465
0.06875,0.39288
0.070312,0.39113
0.071875,0.3894
0.073438,0.38768
0.075,0.38599
0.076563,0.38431
0.078125,0.38265
0.079687,0.38101
0.08125,0.37939
0.082812,0.37778
0.084375,0.37618
0.085938,0.37461
0.0875,0.37305
0.089063,0.3715
0.090625,0.36997
0.092188,0.36845
0.09375,0.36694
0.095312,0.36545
0.096875,0.36398
0.098437,0.36251
0.1,0.36106
0.10156,0.35962
0.10312,0.3582
0.10469,0.35678
0.10625,0.35538
0.10781,0.35399
0.10938,0.35261
0.11094,0.35124
0.1125,0.34988
0.11406,0.34854
0.11563,0.3472
0.11719,0.34587
0.11875,0.34456
0.12031,0.34325
0.12187,0.34196
0.12344,0.34067
0.125,0.3394
0.12656,0.33813
0.12812,0.33687
0.12969,0.33562
0.13125,0.33438
0.13281,0.33315
0.13437,0.33193
0.13594,0.33071
0.1375,0.32951
0.13906,0.32831
0.14062,0.32712
0.14219,0.32594
0.14375,0.32476
0.14531,0.3236
0.14688,0.32244
0.14844,0.32129
0.15,0.32014
0.15156,0.31901
0.15313,0.31788
0.15469,0.31675
0.15625,0.31564
0.15781,0.31453
0.15937,0.31343
0.16094,0.31233
0.1625,0.31124
0.16406,0.31016
0.16562,0.30908
0.16719,0.30801
0.16875,0.30695
0.17031,0.30589
0.17188,0.30484
0.17344,0.3038
0.175,0.30276
0.17656,0.30173
0.17813,0.3007
0.17969,0.29968
0.18125,0.29866
0.18281,0.29765
0.18438,0.29665
0.18594,0.29565
0.1875,0.29465
0.18906,0.29367
0.19062,0.29268
0.19219,0.29171
0.19375,0.29073
0.19531,0.28977
0.19687,0.2888
0.19844,0.28785
0.2,0.28689
0.20156,0.28595
0.20312,0.285
0.20469,0.28407
0.20625,0.28313
0.20781,0.28221
0.20938,0.28128
0.21094,0.28036
0.2125,0.27945
0.21406,0.27854
0.21563,0.27764
0.21719,0.27673
0.21875,0.27584
0.22031,0.27495
0.22187,0.27406
0.22344,0.27318
0.225,0.2723
0.22656,0.27142
0.22812,0.27055
0.22969,0.26969
0.23125,0.26883
0.23281,0.26797
0.23438,0.26712
0.23594,0.26627
0.2375,0.26542
0.23906,0.26458
0.24063,0.26374
0.24219,0.26291
0.24375,0.26208
0.24531,0.26125
0.24688,0.26043
0.24844,0.25961
0.25,0.2588
0.25156,0.25799
0.25312,0.25718
0.25469,0.25638
0.25625,0.25558
0.25781,0.25478
0.25938,0.25399
0.26094,0.2532
0.2625,0.25241
0.26406,0.25163
0.26562,0.25085
0.26719,0.25008
0.26875,0.2493
0.27031,0.24854
0.27187,0.24777
0.27344,0.24701
0.275,0.24625
0.27656,0.2455
0.27813,0.24475
0.27969,0.244
0.28125,0.24325
0.28281,0.24251
0.28437,0.24177
0.28594,0.24104
0.2875,0.2403
0.28906,0.23958
0.29063,0.23885
0.29219,0.23813
0.29375,0.23741
0.29531,0.23669
0.29688,0.23598
0.29844,0.23526
0.3,0.23456
0.30156,0.23385
0.30312,0.23315
0.30469,0.23245
0.30625,0.23176
0.30781,0.23106
0.30938,0.23037
0.31094,0.22968
0.3125,0.229
0.31406,0.22832
0.31562,0.22764
0.31719,0.22696
0.31875,0.22629
0.32031,0.22562
0.32188,0.22495
0.32344,0.22429
0.325,0.22362
0.32656,0.22296
0.32812,0.22231
0.32969,0.22165
0.33125,0.221
0.33281,0.22035
0.33437,0.2197
0.33594,0.21906
0.3375,0.21842
0.33906,0.21778
0.34063,0.21714
0.34219,0.21651
0.34375,0.21588
0.34531,0.21525
0.34687,0.21462
0.34844,0.214
0.35,0.21338
0.35156,0.21276
0.35313,0.21214
0.35469,0.21153
0.35625,0.21092
0.35781,0.21031
0.35938,0.2097
0.36094,0.2091
0.3625,0.20849
0.36406,0.20789
0.36562,0.2073
0.36719,0.2067
0.36875,0.20611
0.37031,0.20552
0.37188,0.20493
0.37344,0.20434
0.375,0.20376
0.37656,0.20318
0.37812,0.2026
0.37969,0.20202
0.38125,0.20144
0.38281,0.20087
0.38438,0.2003
0.38594,0.19973
0.3875,0.19916
0.38906,0.1986
0.39062,0.19804
0.39219,0.19748
0.39375,0.19692
0.39531,0.19636
0.39687,0.19581
0.39844,0.19526
0.4,0.19471
0.40156,0.19416
0.40313,0.19361
0.40469,0.19307
0.40625,0.19253
0.40781,0.19199
0.40937,0.19145
0.41094,0.19091
0.4125,0.19038
0.41406,0.18985
0.41563,0.18932
0.41719,0.18879
0.41875,0.18826
0.42031,0.18774
0.42188,0.18722
0.42344,0.1867
0.425,0.18618
0.42656,0.18566
0.42812,0.18515
0.42969,0.18463
0.43125,0.18412
0.43281,0.18361
0.43438,0.18311
0.43594,0.1826
0.4375,0.1821
0.43906,0.1816
0.44062,0.1811
0.44219,0.1806
0.44375,0.1801
0.44531,0.17961
0.44688,0.17911
0.44844,0.17862
0.45,0.17813
0.45156,0.17764
0.45312,0.17716
0.45469,0.17667
0.45625,0.17619
0.45781,0.17571
0.45937,0.17523
0.46094,0.17475
0.4625,0.17428
0.46406,0.1738
0.46563,0.17333
0.46719,0.17286
0.46875,0.17239
0.47031,0.17192
0.47187,0.17145
0.47344,0.17099
0.475,0.17053
0.47656,0.17007
0.47813,0.16961
0.47969,0.16915
0.48125,0.16869
0.48281,0.16824
0.48438,0.16778
0.48594,0.16733
0.4875,0.16688
0.48906,0.16643
0.49062,0.16598
0.49219,0.16554
0.49375,0.16509
0.49531,0.16465
0.49688,0.16421
0.49844,0.16377
0.5,0.16333
0.50156,0.1629
0.50313,0.16246
0.50469,0.16203
0.50625,0.16159
0.50781,0.16116
0.50938,0.16073
0.51094,0.16031
0.5125,0.15988
0.51406,0.15945
0.51562,0.15903
0.51719,0.15861
0.51875,0.15819
0.52031,0.15777
0.52187,0.15735
0.52344,0.15693
0.525,0.15652
0.52656,0.1561
0.52812,0.15569
0.52969,0.15528
0.53125,0.15487
0.53281,0.15446
0.53438,0.15405
0.53594,0.15365
0.5375,0.15324
0.53906,0.15284
0.54063,0.15244
0.54219,0.15204
0.54375,0.15164
0.54531,0.15124
0.54688,0.15084
0.54844,0.15045
0.55,0.15006
0.55156,0.14966
0.55312,0.14927
0.55469,0.14888
0.55625,0.14849
0.55781,0.1481
0.55937,0.14772
0.56094,0.14733
0.5625,0.14695
0.56406,0.14657
0.56563,0.14618
0.56719,0.1458
0.56875,0.14543
0.57031,0.14505
