z,N1,N3,N5,N7,N9,N11,N13,N15,N17,N19,N21
0,2.2893,1.8399,1.8404,1.8366,1.8341,1.8326,1.8317,1.8313,1.831,1.8309,1.8309
0.0015625,2.2877,1.839,1.8396,1.8358,1.8334,1.8319,1.8311,1.8307,1.8305,1.8304,1.8303
0.003125,2.2861,1.838,1.8388,1.8351,1.8326,1.8312,1.8305,1.8301,1.8299,1.8298,1.8298
0.0046875,2.2846,1.8371,1.8379,1.8343,1.8319,1.8306,1.8298,1.8295,1.8293,1.8292,1.8293
0.00625,2.283,1.8361,1.8371,1.8336,1.8312,1.8299,1.8292,1.8288,1.8287,1.8287,1.8287
0.0078125,2.2814,1.8352,1.8363,1.8328,1.8305,1.8292,1.8286,1.8282,1.8281,1.8281,1.8281
0.009375,2.2799,1.8342,1.8355,1.832,1.8298,1.8286,1.8279,1.8276,1.8275,1.8275,1.8276
0.010937,2.2783,1.8332,1.8346,1.8313,1.8291,1.8279,1.8272,1.827,1.8269,1.8269,1.827
0.0125,2.2767,1.8323,1.8338,1.8305,1.8284,1.8272,1.8266,1.8263,1.8263,1.8263,1.8264
0.014063,2.2752,1.8313,1.8329,1.8297,1.8276,1.8265,1.8259,1.8257,1.8257,1.8257,1.8258
0.015625,2.2736,1.8303,1.8321,1.829,1.8269,1.8258,1.8253,1.8251,1.825,1.8251,1.8252
0.017188,2.272,1.8294,1.8313,1.8282,1.8262,1.8251,1.8246,1.8244,1.8244,1.8245,1.8246
0.01875,2.2704,1.8284,1.8304,1.8274,1.8255,1.8244,1.8239,1.8238,1.8238,1.8239,1.824
0.020313,2.2689,1.8274,1.8296,1.8266,1.8247,1.8237,1.8232,1.8231,1.8231,1.8233,1.8234
0.021875,2.2673,1.8264,1.8287,1.8259,1.824,1.823,1.8226,1.8224,1.8225,1.8226,1.8228
0.023438,2.2657,1.8255,1.8279,1.8251,1.8232,1.8223,1.8219,1.8218,1.8218,1.822,1.8222
0.025,2.2641,1.8245,1.827,1.8243,1.8225,1.8216,1.8212,1.8211,1.8212,1.8214,1.8216
0.026562,2.2625,1.8235,1.8262,1.8235,1.8218,1.8209,1.8205,1.8204,1.8205,1.8207,1.8209
0.028125,2.261,1.8225,1.8253,1.8227,1.821,1.8201,1.8198,1.8198,1.8199,1.8201,1.8203
0.029687,2.2594,1.8216,1.8245,1.8219,1.8203,1.8194,1.8191,1.8191,1.8192,1.8194,1.8196
0.03125,2.2578,1.8206,1.8236,1.8211,1.8195,1.8187,1.8184,1.8184,1.8185,1.8187,1.819
0.032813,2.2562,1.8196,1.8227,1.8203,1.8187,1.818,1.8177,1.8177,1.8178,1.8181,1.8183
0.034375,2.2546,1.8186,1.8219,1.8195,1.818,1.8172,1.817,1.817,1.8172,1.8174,1.8177
0.035937,2.253,1.8176,1.821,1.8187,1.8172,1.8165,1.8163,1.8163,1.8165,1.8167,1.817
0.0375,2.2515,1.8166,1.8201,1.8179,1.8165,1.8158,1.8156,1.8156,1.8158,1.816,1.8163
0.039062,2.2499,1.8157,1.8193,1.8171,1.8157,1.815,1.8148,1.8149,1.8151,1.8154,1.8156
0.040625,2.2483,1.8147,1.8184,1.8163,1.8149,1.8143,1.8141,1.8142,1.8144,1.8147,1.815
0.042188,2.2467,1.8137,1.8175,1.8155,1.8142,1.8135,1.8134,1.8135,1.8137,1.814,1.8143
0.04375,2.2451,1.8127,1.8167,1.8147,1.8134,1.8128,1.8126,1.8127,1.813,1.8133,1.8136
0.045312,2.2435,1.8117,1.8158,1.8139,1.8126,1.812,1.8119,1.812,1.8123,1.8126,1.8129
0.046875,2.2419,1.8107,1.8149,1.8131,1.8118,1.8113,1.8112,1.8113,1.8116,1.8119,1.8122
0.048438,2.2403,1.8097,1.814,1.8122,1.811,1.8105,1.8104,1.8106,1.8108,1.8111,1.8115
0.05,2.2387,1.8087,1.8132,1.8114,1.8103,1.8098,1.8097,1.8098,1.8101,1.8104,1.8108
0.051562,2.2371,1.8077,1.8123,1.8106,1.8095,1.809,1.8089,1.8091,1.8094,1.8097,1.81
0.053125,2.2355,1.8067,1.8114,1.8098,1.8087,1.8082,1.8082,1.8084,1.8086,1.809,1.8093
0.054688,2.2339,1.8057,1.8105,1.809,1.8079,1.8075,1.8074,1.8076,1.8079,1.8082,1.8086
0.05625,2.2323,1.8047,1.8097,1.8081,1.8071,1.8067,1.8067,1.8069,1.8072,1.8075,1.8079
0.057813,2.2307,1.8037,1.8088,1.8073,1.8063,1.8059,1.8059,1.8061,1.8064,1.8068,1.8071
0.059375,2.2291,1.8027,1.8079,1.8065,1.8055,1.8051,1.8051,1.8054,1.8057,1.806,1.8064
0.060937,2.2275,1.8017,1.807,1.8056,1.8047,1.8044,1.8044,1.8046,1.8049,1.8053,1.8056
0.0625,2.2259,1.8007,1.8061,1.8048,1.8039,1.8036,1.8036,1.8038,1.8042,1.8045,1.8049
0.064062,2.2243,1.7997,1.8052,1.804,1.8031,1.8028,1.8028,1.8031,1.8034,1.8038,1.8041
0.065625,2.2227,1.7987,1.8043,1.8031,1.8023,1.802,1.8021,1.8023,1.8026,1.803,1.8034
0.067187,2.2211,1.7977,1.8034,1.8023,1.8015,1.8012,1.8013,1.8015,1.8019,1.8022,1.8026
0.06875,2.2195,1.7967,1.8025,1.8015,1.8007,1.8004,1.8005,1.8008,1.8011,1.8015,1.8019
0.070312,2.2179,1.7957,1.8017,1.8006,1.7999,1.7996,1.7997,1.8,1.8003,1.8007,1.8011
0.071875,2.2163,1.7947,1.8008,1.7998,1.799,1.7988,1.7989,1.7992,1.7996,1.7999,1.8003
0.073438,2.2147,1.7937,1.7999,1.7989,1.7982,1.798,1.7981,1.7984,1.7988,1.7992,1.7995
0.075,2.2131,1.7927,1.799,1.7981,1.7974,1.7972,1.7973,1.7976,1.798,1.7984,1.7987
0.076563,2.2115,1.7917,1.7981,1.7972,1.7966,1.7964,1.7965,1.7968,1.7972,1.7976,1.798
0.078125,2.2099,1.7907,1.7972,1.7964,1.7958,1.7956,1.7957,1.796,1.7964,1.7968,1.7972
0.079687,2.2083,1.7897,1.7963,1.7955,1.7949,1.7948,1.7949,1.7952,1.7956,1.796,1.7964
0.08125,2.2067,1.7887,1.7954,1.7947,1.7941,1.794,1.7941,1.7945,1.7948,1.7952,1.7956
0.082812,2.2051,1.7876,1.7945,1.7938,1.7933,1.7932,1.7933,1.7936,1.794,1.7944,1.7948
0.084375,2.2035,1.7866,1.7936,1.793,1.7925,1.7924,1.7925,1.7928,1.7932,1.7936,1.794
0.085938,2.2019,1.7856,1.7927,1.7921,1.7916,1.7915,1.7917,1.792,1.7924,1.7928,1.7932
0.0875,2.2003,1.7846,1.7918,1.7913,1.7908,1.7907,1.7909,1.7912,1.7916,1.792,1.7924
0.089063,2.1987,1.7836,1.7908,1.7904,1.79,1.7899,1.7901,1.7904,1.7908,1.7912,1.7915
0.090625,2.1971,1.7826,1.7899,1.7896,1.7891,1.7891,1.7893,1.7896,1.79,1.7904,1.7907
0.092188,2.1955,1.7816,1.789,1.7887,1.7883,1.7883,1.7885,1.7888,1.7892,1.7895,1.7899
0.09375,2.1939,1.7805,1.7881,1.7878,1.7875,1.7874,1.7876,1.788,1.7883,1.7887,1.7891
0.095312,2.1922,1.7795,1.7872,1.787,1.7866,1.7866,1.7868,1.7871,1.7875,1.7879,1.7883
0.096875,2.1906,1.7785,1.7863,1.7861,1.7858,1.7858,1.786,1.7863,1.7867,1.7871,1.7874
0.098437,2.189,1.7775,1.7854,1.7852,1.7849,1.7849,1.7852,1.7855,1.7859,1.7862,1.7866
0.1,2.1874,1.7765,1.7845,1.7844,1.7841,1.7841,1.7843,1.7847,1.785,1.7854,1.7858
0.10156,2.1858,1.7755,1.7836,1.7835,1.7832,1.7833,1.7835,1.7838,1.7842,1.7846,1.7849
0.10312,2.1842,1.7744,1.7827,1.7826,1.7824,1.7824,1.7827,1.783,1.7834,1.7837,1.7841
0.10469,2.1826,1.7734,1.7817,1.7818,1.7815,1.7816,1.7818,1.7822,1.7825,1.7829,1.7832
0.10625,2.181,1.7724,1.7808,1.7809,1.7807,1.7807,1.781,1.7813,1.7817,1.7821,1.7824
0.10781,2.1794,1.7714,1.7799,1.78,1.7798,1.7799,1.7801,1.7805,1.7808,1.7812,1.7815
0.10938,2.1778,1.7704,1.779,1.7792,1.779,1.7791,1.7793,1.7796,1.78,1.7804,1.7807
0.11094,2.1762,1.7693,1.7781,1.7783,1.7781,1.7782,1.7785,1.7788,1.7792,1.7795,1.7798
0.1125,2.1746,1.7683,1.7772,1.7774,1.7773,1.7774,1.7776,1.778,1.7783,1.7787,1.779
0.11406,2.173,1.7673,1.7763,1.7765,1.7764,1.7765,1.7768,1.7771,1.7775,1.7778,1.7781
0.11563,2.1714,1.7663,1.7753,1.7757,1.7756,1.7757,1.7759,1.7763,1.7766,1.7769,1.7773
0.11719,2.1698,1.7653,1.7744,1.7748,1.7747,1.7748,1.7751,1.7754,1.7758,1.7761,1.7764
0.11875,2.1682,1.7642,1.7735,1.7739,1.7738,1.774,1.7742,1.7746,1.7749,1.7752,1.7755
0.12031,2.1666,1.7632,1.7726,1.773,1.773,1.7731,1.7734,1.7737,1.774,1.7744,1.7747
0.12187,2.165,1.7622,1.7717,1.7721,1.7721,1.7723,1.7725,1.7728,1.7732,1.7735,1.7738
0.12344,2.1634,1.7612,1.7707,1.7713,1.7713,1.7714,1.7717,1.772,1.7723,1.7726,1.7729
