z,N1,N3,N5
0,25.133,25.133,25.133
0.0015625,25.12,25.12,25.12
0.003125,25.107,25.107,25.107
0.0046875,25.093,25.093,25.093
0.00625,25.08,25.08,25.08
0.0078125,25.067,25.067,25.067
0.009375,25.054,25.054,25.054
0.010937,25.041,25.041,25.041
0.0125,25.027,25.027,25.027
0.014063,25.014,25.014,25.014
0.015625,25.001,25.001,25.001
0.017188,24.988,24.988,24.988
0.01875,24.974,24.974,24.974
0.020313,24.961,24.961,24.961
0.021875,24.947,24.947,24.947
0.023438,24.934,24.934,24.934
0.025,24.921,24.921,24.921
0.026562,24.907,24.907,24.907
0.028125,24.894,24.894,24.894
0.029687,24.88,24.88,24.88
0.03125,24.867,24.867,24.867
0.032813,24.853,24.853,24.853
0.034375,24.84,24.84,24.84
0.035937,24.826,24.826,24.826
0.0375,24.813,24.813,24.813
0.039062,24.799,24.799,24.799
0.040625,24.785,24.785,24.785
0.042188,24.772,24.772,24.772
0.04375,24.758,24.758,24.758
0.045312,24.745,24.745,24.745
0.046875,24.731,24.731,24.731
0.048438,24.717,24.717,24.717
0.05,24.703,24.703,24.703
0.051562,24.69,24.69,24.69
0.053125,24.676,24.676,24.676
0.054688,24.662,24.662,24.662
0.05625,24.648,24.648,24.648
0.057813,24.634,24.634,24.634
0.059375,24.621,24.621,24.621
0.060937,24.607,24.607,24.607
0.0625,24.593,24.593,24.593
0.064062,24.579,24.579,24.579
0.065625,24.565,24.565,24.565
0.067187,24.551,24.551,24.551
0.06875,24.537,24.537,24.537
0.070312,24.523,24.523,24.523
0.071875,24.509,24.509,24.509
0.073438,24.495,24.495,24.495
0.075,24.481,24.481,24.481
0.076563,24.467,24.467,24.467
0.078125,24.453,24.453,24.453
0.079687,24.439,24.439,24.439
0.08125,24.424,24.424,24.424
0.082812,24.41,24.41,24.41
0.084375,24.396,24.396,24.396
0.085938,24.382,24.382,24.382
0.0875,24.368,24.368,24.368
0.089063,24.353,24.353,24.353
0.090625,24.339,24.339,24.339
0.092188,24.325,24.325,24.325
0.09375,24.311,24.311,24.311
0.095312,24.296,24.296,24.296
0.096875,24.282,24.282,24.282
0.098437,24.267,24.267,24.267
0.1,24.253,24.253,24.253
0.10156,24.239,24.239,24.239
0.10312,24.224,24.224,24.224
0.10469,24.21,24.21,24.21
0.10625,24.195,24.195,24.195
0.10781,24.181,24.181,24.181
0.10938,24.166,24.166,24.166
0.11094,24.152,24.152,24.152
0.1125,24.137,24.137,24.137
0.11406,24.123,24.123,24.123
0.11563,24.108,24.108,24.108
0.11719,24.093,24.093,24.093
0.11875,24.079,24.079,24.079
0.12031,24.064,24.064,24.064
0.12187,24.05,24.05,24.05
0.12344,24.035,24.035,24.035
0.125,24.02,24.02,24.02
0.12656,24.005,24.005,24.005
0.12812,23.991,23.991,23.991
0.12969,23.976,23.976,23.976
0.13125,23.961,23.961,23.961
0.13281,23.946,23.946,23.946
0.13437,23.931,23.931,23.931
0.13594,23.917,23.917,23.917
0.1375,23.902,23.902,23.902
0.13906,23.887,23.887,23.887
0.14062,23.872,23.872,23.872
0.14219,23.857,23.857,23.857
0.14375,23.842,23.842,23.842
0.14531,23.827,23.827,23.827
0.14688,23.812,23.812,23.812
0.14844,23.797,23.797,23.797
0.15,23.782,23.782,23.782
0.15156,23.767,23.767,23.767
0.15313,23.752,23.752,23.752
0.15469,23.737,23.737,23.737
0.15625,23.721,23.721,23.721
0.15781,23.706,23.706,23.706
0.15937,23.691,23.691,23.691
0.16094,23.676,23.676,23.676
0.1625,23.661,23.661,23.661
0.16406,23.646,23.646,23.646
0.16562,23.63,23.63,23.63
0.16719,23.615,23.615,23.615
0.16875,23.6,23.6,23.6
0.17031,23.584,23.584,23.584
0.17188,23.569,23.569,23.569
0.17344,23.554,23.554,23.554
0.175,23.538,23.538,23.538
0.17656,23.523,23.523,23.523
0.17813,23.508,23.508,23.508
0.17969,23.492,23.492,23.492
0.18125,23.477,23.477,23.477
0.18281,23.461,23.461,23.461
0.18438,23.446,23.446,23.446
0.18594,23.43,23.43,23.43
0.1875,23.415,23.415,23.415
0.18906,23.399,23.399,23.399
0.19062,23.384,23.384,23.384
0.19219,23.368,23.368,23.368
0.19375,23.352,23.352,23.352
0.19531,23.337,23.337,23.337
0.19687,23.321,23.321,23.321
0.19844,23.305,23.305,23.305
0.2,23.29,23.29,23.29
0.20156,23.274,23.274,23.274
0.20312,23.258,23.258,23.258
0.20469,23.242,23.242,23.242
0.20625,23.227,23.227,23.227
0.20781,23.211,23.211,23.211
0.20938,23.195,23.195,23.195
0.21094,23.179,23.179,23.179
0.2125,23.163,23.163,23.163
0.21406,23.147,23.147,23.147
0.21563,23.132,23.132,23.132
0.21719,23.116,23.116,23.116
0.21875,23.1,23.1,23.1
0.22031,23.084,23.084,23.084
0.22187,23.068,23.068,23.068
0.22344,23.052,23.052,23.052
0.225,23.036,23.036,23.036
0.22656,23.02,23.02,23.02
0.22812,23.004,23.004,23.004
0.22969,22.988,22.988,22.988
0.23125,22.971,22.971,22.971
0.23281,22.955,22.955,22.955
0.23438,22.939,22.939,22.939
0.23594,22.923,22.923,22.923
0.2375,22.907,22.907,22.907
0.23906,22.891,22.891,22.891
0.24063,22.874,22.874,22.874
0.24219,22.858,22.858,22.858
0.24375,22.842,22.842,22.842
0.24531,22.826,22.826,22.826
0.24688,22.809,22.809,22.809
0.24844,22.793,22.793,22.793
0.25,22.777,22.777,22.777
