x,N1,N3,N5,N7
0,5.9645,5.3138,5.2278,5.189
0.010101,5.9279,5.2931,5.2171,5.1849
0.020202,5.8913,5.2724,5.2065,5.1809
0.030303,5.8548,5.2514,5.195,5.1757
0.040404,5.8183,5.2298,5.1825,5.1687
0.050505,5.7817,5.208,5.1693,5.1608
0.060606,5.7452,5.1858,5.1554,5.1517
0.070707,5.7087,5.1632,5.1407,5.1416
0.080808,5.6721,5.1405,5.1258,5.1311
0.090909,5.6356,5.1172,5.1097,5.1187
0.10101,5.5991,5.0937,5.0931,5.1057
0.11111,5.5626,5.0697,5.0754,5.0911
0.12121,5.5261,5.0456,5.0574,5.0759
0.13131,5.4897,5.0212,5.039,5.0603
0.14141,5.4532,4.9962,5.0194,5.0428
0.15152,5.4167,4.9712,4.9996,5.0252
0.16162,5.3803,4.9457,4.979,5.0064
0.17172,5.3438,4.9201,4.9581,4.9873
0.18182,5.3073,4.8942,4.937,4.9678
0.19192,5.2709,4.868,4.9149,4.9471
0.20202,5.2345,4.8415,4.8925,4.9259
0.21212,5.198,4.8146,4.8693,4.9036
0.22222,5.1616,4.7877,4.8459,4.8811
0.23232,5.1252,4.7603,4.8217,4.8577
0.24242,5.0888,4.7329,4.7976,4.8343
0.25253,5.0524,4.705,4.7725,4.8097
0.26263,5.016,4.6769,4.7472,4.7848
0.27273,4.9796,4.6485,4.7214,4.7592
0.28283,4.9432,4.62,4.6953,4.7334
0.29293,4.9068,4.5912,4.6688,4.7071
0.30303,4.8705,4.5622,4.6419,4.6803
0.31313,4.8341,4.533,4.6145,4.653
0.32323,4.7978,4.5036,4.587,4.6255
0.33333,4.7614,4.4738,4.5588,4.5972
0.34343,4.7251,4.444,4.5305,4.5689
0.35354,4.6887,4.4137,4.5017,4.5398
0.36364,4.6524,4.3833,4.4725,4.5105
0.37374,4.6161,4.3529,4.4433,4.4811
0.38384,4.5798,4.3221,4.4136,4.4511
0.39394,4.5435,4.2911,4.3834,4.4207
0.40404,4.5072,4.2599,4.3531,4.3901
0.41414,4.4709,4.2286,4.3226,4.3593
0.42424,4.4346,4.197,4.2916,4.3279
0.43434,4.3983,4.1652,4.2604,4.2964
0.44444,4.362,4.1333,4.2289,4.2645
0.45455,4.3258,4.1011,4.1972,4.2324
0.46465,4.2895,4.0688,4.165,4.1999
0.47475,4.2532,4.0363,4.1328,4.1674
0.48485,4.217,4.0035,4.1002,4.1343
0.49495,4.1807,3.9706,4.0673,4.101
0.50505,4.1445,3.9375,4.0341,4.0675
0.51515,4.1083,3.9042,4.0008,4.0338
0.52525,4.0721,3.8708,3.9672,3.9999
0.53535,4.0358,3.8371,3.9333,3.9655
0.54545,3.9996,3.8034,3.8993,3.9311
0.55556,3.9634,3.7693,3.8649,3.8963
0.56566,3.9272,3.7351,3.8302,3.8613
0.57576,3.891,3.7009,3.7955,3.8262
0.58586,3.8548,3.6663,3.7603,3.7906
0.59596,3.8186,3.6316,3.7249,3.7549
0.60606,3.7825,3.5967,3.6894,3.7189
0.61616,3.7463,3.5618,3.6537,3.6829
0.62626,3.7101,3.5265,3.6175,3.6463
0.63636,3.674,3.4912,3.5814,3.6098
0.64646,3.6378,3.4557,3.545,3.573
0.65657,3.6017,3.4199,3.5081,3.5358
0.66667,3.5655,3.384,3.4712,3.4984
0.67677,3.5294,3.348,3.434,3.4608
0.68687,3.4932,3.3118,3.3966,3.423
0.69697,3.4571,3.2754,3.359,3.385
0.70707,3.421,3.2388,3.3211,3.3466
0.71717,3.3849,3.2021,3.283,3.3081
0.72727,3.3488,3.1652,3.2446,3.2691
0.73737,3.3127,3.1282,3.2061,3.2302
0.74747,3.2766,3.0909,3.1671,3.1907
0.75758,3.2405,3.0536,3.1281,3.1512
0.76768,3.2044,3.016,3.0886,3.111
0.77778,3.1683,2.9783,3.0491,3.0708
0.78788,3.1322,2.9403,3.0091,3.0302
0.79798,3.0961,2.9023,2.9691,2.9895
0.80808,3.06,2.864,2.9287,2.9483
0.81818,3.024,2.8257,2.8881,2.9069
0.82828,2.9879,2.787,2.8471,2.865
0.83838,2.9519,2.7483,2.8059,2.8229
0.84848,2.9158,2.7093,2.7644,2.7803
0.85859,2.8797,2.6702,2.7226,2.7375
0.86869,2.8437,2.631,2.6807,2.6945
0.87879,2.8077,2.5915,2.6383,2.6508
0.88889,2.7716,2.5518,2.5957,2.6068
0.89899,2.7356,2.5121,2.5529,2.5626
0.90909,2.6996,2.4721,2.5096,2.5177
0.91919,2.6635,2.4319,2.4661,2.4725
0.92929,2.6275,2.3914,2.422,2.4264
0.93939,2.5915,2.3509,2.3779,2.3803
0.94949,2.5555,2.3102,2.3333,2.3336
0.9596,2.5195,2.2692,2.2885,2.2864
0.9697,2.4835,2.2281,2.2433,2.2389
0.9798,2.4475,2.1868,2.1977,2.1906
0.9899,2.4115,2.1452,2.1517,2.1419
1,2.3755,2.1037,2.1058,2.0931
